Var1,Var2,Corr,Target,Variables,Correlation,abs(Correlation)
TEMPGONEAC,TEMPGONEAC,1.0,KWH,TEMPGONEAC,0.40670609953016335,0.40670609953016335
TEMPGONEAC,TEMPNITEAC,0.9663157577277481,KWH,TEMPNITEAC,0.4165852093459065,0.4165852093459065
TEMPGONEAC,TEMPHOMEAC,0.9731118839468992,KWH,TEMPHOMEAC,0.42163082916554206,0.42163082916554206
TEMPHOMEAC,TEMPGONEAC,0.9731118839468992,KWH,TEMPGONEAC,0.40670609953016335,0.40670609953016335
TEMPHOMEAC,TEMPNITEAC,0.9830975089570907,KWH,TEMPNITEAC,0.4165852093459065,0.4165852093459065
TEMPHOMEAC,TEMPHOMEAC,1.0,KWH,TEMPHOMEAC,0.42163082916554206,0.42163082916554206
TEMPNITEAC,TEMPGONEAC,0.9663157577277481,KWH,TEMPGONEAC,0.40670609953016335,0.40670609953016335
TEMPNITEAC,TEMPNITEAC,1.0,KWH,TEMPNITEAC,0.4165852093459065,0.4165852093459065
TEMPNITEAC,TEMPHOMEAC,0.9830975089570907,KWH,TEMPHOMEAC,0.42163082916554206,0.42163082916554206
THERMAINAC,ACOTHERS,0.9770542312241037,KWH,ACOTHERS,0.3774532376504094,0.3774532376504094
THERMAINAC,PELAC,0.9734991842466363,KWH,PELAC,0.3844373102546891,0.3844373102546891
THERMAINAC,THERMAINAC,1.0,KWH,THERMAINAC,0.4017799796434648,0.4017799796434648
THERMAINAC,CENACHP,0.9277157046202185,KWH,CENACHP,0.42798657416605035,0.42798657416605035
TOPFRONT,TOPFRONT,1.0,KWH,TOPFRONT,0.3464183338315294,0.3464183338315294
TOTALDOL,TOTALDOL,1.0,KWH,TOTALDOL,0.6187776564839047,0.6187776564839047
TOTCSQFT,TOTCSQFT,1.0,KWH,TOTCSQFT,0.5095914576869386,0.5095914576869386
TOTHSQFT,TOTHSQFT,1.0,KWH,TOTHSQFT,0.4358897828802115,0.4358897828802115
TOTROOMS,TOTROOMS,1.0,KWH,TOTROOMS,0.4587577066407856,0.4587577066407856
TOTSQFT,TOTSQFT_EN,0.9896437695664145,KWH,TOTSQFT_EN,0.40975434389073184,0.40975434389073184
TOTSQFT,TOTSQFT,1.0,KWH,TOTSQFT,0.4142405553907265,0.4142405553907265
TOTSQFT_EN,TOTSQFT_EN,1.0,KWH,TOTSQFT_EN,0.40975434389073184,0.40975434389073184
TOTSQFT_EN,TOTSQFT,0.9896437695664145,KWH,TOTSQFT,0.4142405553907265,0.4142405553907265
TVAUDIOSYS3,VCR3,0.9776826610135906,KWH,VCR3,0.3268460838090407,0.3268460838090407
TVAUDIOSYS3,DIGITSTB3,0.9764209946898734,KWH,DIGITSTB3,0.3277784051239616,0.3277784051239616
TVAUDIOSYS3,DVD3,0.9640433639602414,KWH,DVD3,0.3309321400617885,0.3309321400617885
TVAUDIOSYS3,TVSIZE3,0.953697950631252,KWH,TVSIZE3,0.33152638910470067,0.33152638910470067
TVAUDIOSYS3,OTHERSTB3,0.9923871635323009,KWH,OTHERSTB3,0.3343430128248828,0.3343430128248828
TVAUDIOSYS3,TVTYPE3,0.9611287524225404,KWH,TVTYPE3,0.3369300194568894,0.3369300194568894
TVAUDIOSYS3,TVAUDIOSYS3,1.0,KWH,TVAUDIOSYS3,0.3376117380030624,0.3376117380030624
TVAUDIOSYS3,COMBOVCRDVD3,0.9785351475019354,KWH,COMBOVCRDVD3,0.3381145292516945,0.3381145292516945
TVAUDIOSYS3,TVONWD3,0.9432549834484362,KWH,TVONWD3,0.33901316747118193,0.33901316747118193
TVAUDIOSYS3,CABLESAT3,0.9452073267843605,KWH,CABLESAT3,0.3400536885629924,0.3400536885629924
TVAUDIOSYS3,PLAYSTA3,0.9725790262329513,KWH,PLAYSTA3,0.3401636520462704,0.3401636520462704
TVAUDIOSYS3,TVONWE3,0.9437345975880647,KWH,TVONWE3,0.3421252665294553,0.3421252665294553
TVCOLOR,TVCOLOR,1.0,KWH,TVCOLOR,0.3872506496404577,0.3872506496404577
TVONWD3,VCR3,0.9326462573862633,KWH,VCR3,0.3268460838090407,0.3268460838090407
TVONWD3,DIGITSTB3,0.9337807759261755,KWH,DIGITSTB3,0.3277784051239616,0.3277784051239616
TVONWD3,DVD3,0.9235735336951864,KWH,DVD3,0.3309321400617885,0.3309321400617885
TVONWD3,TVSIZE3,0.9072130483993158,KWH,TVSIZE3,0.33152638910470067,0.33152638910470067
TVONWD3,OTHERSTB3,0.9489776862573306,KWH,OTHERSTB3,0.3343430128248828,0.3343430128248828
TVONWD3,TVTYPE3,0.9181019614776939,KWH,TVTYPE3,0.3369300194568894,0.3369300194568894
TVONWD3,TVAUDIOSYS3,0.9432549834484362,KWH,TVAUDIOSYS3,0.3376117380030624,0.3376117380030624
TVONWD3,COMBOVCRDVD3,0.9379149138478289,KWH,COMBOVCRDVD3,0.3381145292516945,0.3381145292516945
TVONWD3,TVONWD3,1.0,KWH,TVONWD3,0.33901316747118193,0.33901316747118193
TVONWD3,CABLESAT3,0.9100813827953873,KWH,CABLESAT3,0.3400536885629924,0.3400536885629924
TVONWD3,PLAYSTA3,0.9364028937467219,KWH,PLAYSTA3,0.3401636520462704,0.3401636520462704
TVONWD3,TVONWE3,0.97734226180477,KWH,TVONWE3,0.3421252665294553,0.3421252665294553
TVONWE3,VCR3,0.9314866915760077,KWH,VCR3,0.3268460838090407,0.3268460838090407
TVONWE3,DIGITSTB3,0.9319970068072655,KWH,DIGITSTB3,0.3277784051239616,0.3277784051239616
TVONWE3,DVD3,0.9252737999876134,KWH,DVD3,0.3309321400617885,0.3309321400617885
TVONWE3,TVSIZE3,0.9083364486802383,KWH,TVSIZE3,0.33152638910470067,0.33152638910470067
TVONWE3,OTHERSTB3,0.947741269074855,KWH,OTHERSTB3,0.3343430128248828,0.3343430128248828
TVONWE3,TVTYPE3,0.9176764438282887,KWH,TVTYPE3,0.3369300194568894,0.3369300194568894
TVONWE3,TVAUDIOSYS3,0.9437345975880647,KWH,TVAUDIOSYS3,0.3376117380030624,0.3376117380030624
TVONWE3,COMBOVCRDVD3,0.9369078210471674,KWH,COMBOVCRDVD3,0.3381145292516945,0.3381145292516945
TVONWE3,TVONWD3,0.97734226180477,KWH,TVONWD3,0.33901316747118193,0.33901316747118193
TVONWE3,CABLESAT3,0.9073992607644211,KWH,CABLESAT3,0.3400536885629924,0.3400536885629924
TVONWE3,PLAYSTA3,0.9406377577159607,KWH,PLAYSTA3,0.3401636520462704,0.3401636520462704
TVONWE3,TVONWE3,1.0,KWH,TVONWE3,0.3421252665294553,0.3421252665294553
TVSIZE3,VCR3,0.9361920414725748,KWH,VCR3,0.3268460838090407,0.3268460838090407
TVSIZE3,DIGITSTB3,0.9339567851566121,KWH,DIGITSTB3,0.3277784051239616,0.3277784051239616
TVSIZE3,DVD3,0.9315759884746079,KWH,DVD3,0.3309321400617885,0.3309321400617885
TVSIZE3,TVSIZE3,1.0,KWH,TVSIZE3,0.33152638910470067,0.33152638910470067
TVSIZE3,OTHERSTB3,0.9509112476920284,KWH,OTHERSTB3,0.3343430128248828,0.3343430128248828
