Var1,Var2,Corr,Target,Variables,Correlation,abs(Correlation)
TVAUDIOSYS3,TYPEHUQ,-0.22525571922386903,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
OTHERSTB3,TYPEHUQ,-0.22465251431996552,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
TVONWD3,TYPEHUQ,-0.21233460939504267,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
TVONWE3,TYPEHUQ,-0.2114296570645574,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
WELLPUMP,TYPEHUQ,-0.7809532878224055,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
FUELHEAT,TYPEHUQ,-0.002410855937632002,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
HEATROOM,TYPEHUQ,-0.452656137257729,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
FUELH2O,TYPEHUQ,-0.02787317723638199,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
WHEATOTH,TYPEHUQ,0.5188729175332217,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
CENACHP,TYPEHUQ,-0.16090498726127697,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
ACOTHERS,TYPEHUQ,-0.12152235036685678,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
MAINTAC,TYPEHUQ,-0.1444530798569519,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
AGECENAC,TYPEHUQ,-0.13632611354622823,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
ACROOMS,TYPEHUQ,-0.29743020323094416,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
USECENAC,TYPEHUQ,-0.1685209418790151,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
THERMAINAC,TYPEHUQ,-0.1534400751730274,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
PROTHERMAC,TYPEHUQ,-0.18081272285692843,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
TEMPHOMEAC,TYPEHUQ,-0.16284306491749612,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
TEMPGONEAC,TYPEHUQ,-0.15276192398061395,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
TEMPNITEAC,TYPEHUQ,-0.16292163201232487,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
NUMCFAN,TYPEHUQ,-0.3429606617148376,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
USECFAN,TYPEHUQ,-0.24796927429248897,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
SWIMPOOL,TYPEHUQ,-0.588898344192614,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
NOUTLGTNT,TYPEHUQ,-0.530984822032726,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
WINDOWS,TYPEHUQ,-0.4756634614082212,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
USENG,TYPEHUQ,0.03968670484036818,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
ELWARM,TYPEHUQ,-0.01397440793583447,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
ELWATER,TYPEHUQ,-0.01428821608860466,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
